Trap JDay  Latitude Longitude  Altitude OctRain NovRain DecRain JanRain FebRain MarRain AprRain MayRain  C30Day  F60Day ConForest DecForest MixForest Grassland Arable InlandWater     Sea   Urban
  22   82     48.11     -1.80        40    71.5    67.1   114.8   131.5   114.1    64.7    26.4    54.1    7.04    8.78     0.024     0.012     0.017     0.183  0.705       0.000   0.044   0.013
  23  170     49.90      5.38       550    86.2    67.1   142.3   257.7   134.2   127.9    89.5    60.1    7.98    5.82     0.018     0.322     0.141     0.345  0.152       0.000   0.000   0.022
  24  171     49.55     15.54       505    31.8    36.3    38.6    39.6    37.9    42.6    37.8    77.2   -1.55    2.95     0.135     0.009     0.057     0.011  0.775       0.002   0.000   0.010
  25  105     51.43     -2.67        46   106.4   104.4   160.3   177.4   108.0    56.2    31.2    60.6    6.34    7.38     0.012     0.026     0.019     0.464  0.342       0.000   0.087   0.033
  26  103     50.45      2.79        40    66.4    33.9    73.6   125.1    78.5    63.0    48.0    43.4    4.97    7.01     0.004     0.007     0.004     0.048  0.873       0.000   0.001   0.063
  27   19     43.58      3.88        30   159.8    73.3    18.2    62.3    23.3    29.7    67.5    23.8    7.87   10.32     0.153     0.019     0.057     0.012  0.140       0.021   0.330   0.010
  28  139     55.21     -1.68        93    51.4    78.3    49.5    75.8    73.1    33.8    30.5    41.4    4.03    5.26     0.038     0.020     0.015     0.267  0.118       0.001   0.450   0.022
  29  122     47.84      1.92       120    42.1    69.8    60.5    98.8    70.9    65.7    66.7    63.3    5.69    7.48     0.151     0.093     0.079     0.013  0.644       0.000   0.000   0.019
  30   92     48.52     -4.32        80   120.0    73.2   185.0   267.9   202.2    86.6    57.9    60.9    9.11    9.25     0.008     0.001     0.010     0.041  0.377       0.000   0.553   0.009
  31  101     46.56      0.33        80    82.5    90.6    96.9   122.1   112.1    83.2    41.9    55.5    5.87    7.65     0.038     0.018     0.022     0.162  0.749       0.000   0.000   0.010
  32    1     45.99     13.18        75   116.7    55.8    39.4    59.7   104.9   150.5    44.1   205.2    5.19    6.83     0.144     0.146     0.162     0.024  0.317       0.005   0.152   0.019
  33  121     53.85     -2.76        15   143.4   109.0   218.1   211.6   153.9   104.8    25.4    61.6    4.40    5.55     0.007     0.008     0.005     0.401  0.092       0.001   0.285   0.088
  34  122     46.42     15.88       227   120.2    60.4    89.2    55.7    72.4    88.3    61.1    93.1    1.39    5.32     0.092     0.153     0.160     0.021  0.570       0.000   0.000   0.003
  35  141     49.26      4.03        80    37.8    28.8    63.4   107.4    76.7    61.5    61.5    57.2    4.41    7.13     0.020     0.208     0.029     0.080  0.644       0.000   0.000   0.010
  36  100     51.81     -0.36       119    86.4    42.8    81.3   129.6    80.2    58.0    15.7    34.3    5.05    6.70     0.008     0.022     0.006     0.088  0.733       0.001   0.006   0.137
  37  108     46.24     14.41       404   235.4    99.2   100.3    85.5   189.6   201.4    56.7   160.4   -0.28    2.40     0.239     0.260     0.308     0.012  0.168       0.002   0.000   0.005
  38  127     50.63     -3.45        12   103.6    97.7   128.1   178.4   112.0    44.4    22.1    34.0    7.50    7.95     0.002     0.011     0.004     0.483  0.073       0.000   0.409   0.013
  39  198     57.98     18.41        10    46.3    30.0    80.3    53.7    50.5    38.3    69.4    64.3    1.41    3.07     0.042     0.001     0.021     0.020  0.047       0.000   0.866   0.001
  40  122     47.16     20.22        88    38.8    18.1    24.9    26.0    45.3    28.6    43.8    49.7    0.42    5.97     0.007     0.000     0.001     0.060  0.883       0.002   0.000   0.028
  41  123     53.86     -1.34        98    61.0    85.8   106.1   109.5    82.7    48.3    17.8    37.9    4.48    5.71     0.015     0.011     0.007     0.270  0.522       0.000   0.008   0.067
  42  189     60.39     18.13        20    46.2    18.1    37.9    56.0    43.1    41.7    74.6    41.2   -0.39    1.41     0.259     0.002     0.000     0.001  0.179       0.021   0.518   0.010
  43   85     44.98      4.96       150   103.8   103.1    17.3    83.0    97.9    31.4   131.2   118.8    5.71    7.37     0.196     0.153     0.145     0.075  0.401       0.001   0.000   0.021
  44  195     57.49     14.69       200    60.9    43.4    91.3    52.3    77.3    53.3    65.1    57.7   -1.50    1.17     0.760     0.002     0.000     0.001  0.117       0.079   0.000   0.014
  45   74     39.73     23.32        85   109.3    53.1    69.2    80.5    16.5    36.6     7.4    39.8    5.96    9.48     0.015     0.041     0.027     0.020  0.100       0.000   0.733   0.002
  46  145     49.46     17.29       206    50.4    16.5    35.6    31.8    25.3    46.8    37.4    73.9   -0.46    4.28     0.128     0.072     0.125     0.003  0.646       0.000   0.000   0.022
  47   92     48.80      2.11       130    41.4    49.4    54.1   113.8    73.0    62.4    73.5    63.7    5.85    7.40     0.033     0.147     0.044     0.004  0.648       0.000   0.000   0.125
  48   72     51.73      0.43        38    79.7    25.3    63.9   117.6    66.7    52.1    11.3    21.8    5.52    6.81     0.005     0.010     0.006     0.057  0.640       0.000   0.157   0.125
  49  123     51.20      0.94        43   107.2    33.3    92.5   137.4    80.1    61.8    17.2    26.8    5.75    7.06     0.004     0.007     0.006     0.098  0.300       0.000   0.536   0.048
  50  141     50.32     13.55       240    15.3    20.1    39.5    32.6    25.8    34.1    66.1    65.4   -0.95    3.69     0.186     0.026     0.056     0.177  0.515       0.002   0.000   0.038
